Offset-Description                                                                   
0000 - Float             7FF4AE2BDA10 : 68.29986572    7FF4AFBE69F0 : 68.29986572    
0198 - 4 Bytes           7FF4AE2BDBA8 : 1372336        7FF4AFBE6B88 : 1373776        
019C - 4 Bytes           7FF4AE2BDBAC : 0              7FF4AFBE6B8C : 0              
01A0 - 4 Bytes           7FF4AE2BDBB0 : 2922109528     7FF4AFBE6B90 : 2948491832     
01A4 - 4 Bytes           7FF4AE2BDBB4 : 32756          7FF4AFBE6B94 : 32756          
01A8 - 4 Bytes           7FF4AE2BDBB8 : 4294967294     7FF4AFBE6B98 : 4294967294     
01AC - 4 Bytes           7FF4AE2BDBBC : 4294967295     7FF4AFBE6B9C : 4294967295     
01B0 - 4 Bytes           7FF4AE2BDBC0 : 62096          7FF4AFBE6BA0 : 1115224736     
01B4 - 4 Bytes           7FF4AE2BDBC4 : 0              7FF4AFBE6BA4 : 1              
01B8 - 4 Bytes           7FF4AE2BDBC8 : 1              7FF4AFBE6BA8 : 1              
01BC - 4 Bytes           7FF4AE2BDBCC : 2147483648     7FF4AFBE6BAC : 0              
01C0 - 4 Bytes           7FF4AE2BDBD0 : 0              7FF4AFBE6BB0 : 0              
01C4 - 4 Bytes           7FF4AE2BDBD4 : 0              7FF4AFBE6BB4 : 1072343723     
01C8 - 4 Bytes           7FF4AE2BDBD8 : 2922110003     7FF4AFBE6BB8 : 2948492307     
01CC - 4 Bytes           7FF4AE2BDBDC : 32756          7FF4AFBE6BBC : 32756          
01D0 - 4 Bytes           7FF4AE2BDBE0 : 1116251728     7FF4AFBE6BC0 : 1116251728     
01D4 - 4 Bytes           7FF4AE2BDBE4 : 1              7FF4AFBE6BC4 : 1              
01D8 - 4 Bytes           7FF4AE2BDBE8 : 2922097056     7FF4AFBE6BC8 : 2948478960     
01DC - 4 Bytes           7FF4AE2BDBEC : 32756          7FF4AFBE6BCC : 32756          
01E0 - 4 Bytes           7FF4AE2BDBF0 : 64             7FF4AFBE6BD0 : 338            
01E4 - 4 Bytes           7FF4AE2BDBF4 : 64             7FF4AFBE6BD4 : 338            
01E8 - 4 Bytes           7FF4AE2BDBF8 : 64             7FF4AFBE6BD8 : 357            
01EC - 4 Bytes           7FF4AE2BDBFC : 1017           7FF4AFBE6BDC : 306            
01F0 - 4 Bytes           7FF4AE2BDC00 : 114            7FF4AFBE6BE0 : 339            
01F4 - 4 Bytes           7FF4AE2BDC04 : 64             7FF4AFBE6BE4 : 338            
01F8 - 4 Bytes           7FF4AE2BDC08 : 64             7FF4AFBE6BE8 : 338            
01FC - 4 Bytes           7FF4AE2BDC0C : 64             7FF4AFBE6BEC : 357            
0200 - 4 Bytes           7FF4AE2BDC10 : 1017           7FF4AFBE6BF0 : 306            
0204 - 4 Bytes           7FF4AE2BDC14 : 114            7FF4AFBE6BF4 : 339            
0208 - 4 Bytes           7FF4AE2BDC18 : 1023799040     7FF4AFBE6BF8 : 1042648421     
020C - 4 Bytes           7FF4AE2BDC1C : 1023799040     7FF4AFBE6BFC : 1042648421     
0210 - 4 Bytes           7FF4AE2BDC20 : 1023799040     7FF4AFBE6C00 : 1023774720     
0214 - 4 Bytes           7FF4AE2BDC24 : 1023799040     7FF4AFBE6C04 : 1063194836     
0218 - 4 Bytes           7FF4AE2BDC28 : 1023799040     7FF4AFBE6C08 : 1055352638     
021C - 4 Bytes           7FF4AE2BDC2C : 0              7FF4AFBE6C0C : 0              
0220 - 4 Bytes           7FF4AE2BDC30 : 0              7FF4AFBE6C10 : 0              
0224 - 4 Bytes           7FF4AE2BDC34 : 0              7FF4AFBE6C14 : 2147483648     
0228 - 4 Bytes           7FF4AE2BDC38 : 2922112931     7FF4AFBE6C18 : 2948495235     
022C - 4 Bytes           7FF4AE2BDC3C : 32756          7FF4AFBE6C1C : 32756          
0230 - 4 Bytes           7FF4AE2BDC40 : 1116208952     7FF4AFBE6C20 : 1116208952     
0234 - 4 Bytes           7FF4AE2BDC44 : 1              7FF4AFBE6C24 : 1              
0238 - 4 Bytes           7FF4AE2BDC48 : 2922097056     7FF4AFBE6C28 : 2948478960     
023C - 4 Bytes           7FF4AE2BDC4C : 32756          7FF4AFBE6C2C : 32756          
0240 - 4 Bytes           7FF4AE2BDC50 : 124978448      7FF4AFBE6C30 : 116147216      
0244 - 4 Bytes           7FF4AE2BDC54 : 32756          7FF4AFBE6C34 : 32756          
0248 - 4 Bytes           7FF4AE2BDC58 : 117467488      7FF4AFBE6C38 : 93478784       
024C - 4 Bytes           7FF4AE2BDC5C : 32756          7FF4AFBE6C3C : 32756          
0250 - 4 Bytes           7FF4AE2BDC60 : 126185376      7FF4AFBE6C40 : 91948752       
0254 - 4 Bytes           7FF4AE2BDC64 : 32756          7FF4AFBE6C44 : 32756          
0258 - 4 Bytes           7FF4AE2BDC68 : 2972607936     7FF4AFBE6C48 : 2946870272     
025C - 4 Bytes           7FF4AE2BDC6C : 32756          7FF4AFBE6C4C : 32756          
0260 - 4 Bytes           7FF4AE2BDC70 : 1010204672     7FF4AFBE6C50 : 0              
0264 - 4 Bytes           7FF4AE2BDC74 : 0              7FF4AFBE6C54 : 0              
0268 - 4 Bytes           7FF4AE2BDC78 : 3156393984     7FF4AFBE6C58 : 0              
026C - 4 Bytes           7FF4AE2BDC7C : 1065353216     7FF4AFBE6C5C : 1065353216     
0270 - 4 Bytes           7FF4AE2BDC80 : 0              7FF4AFBE6C60 : 0              
0274 - 4 Bytes           7FF4AE2BDC84 : 0              7FF4AFBE6C64 : 0              
0278 - 4 Bytes           7FF4AE2BDC88 : 0              7FF4AFBE6C68 : 0              
027C - 4 Bytes           7FF4AE2BDC8C : 1065353216     7FF4AFBE6C6C : 1065353215     
0280 - 4 Bytes           7FF4AE2BDC90 : 1065353216     7FF4AFBE6C70 : 1065353216     
0284 - 4 Bytes           7FF4AE2BDC94 : 1065353215     7FF4AFBE6C74 : 1065353215     
0288 - 4 Bytes           7FF4AE2BDC98 : 1065353216     7FF4AFBE6C78 : 1065353216     
028C - 4 Bytes           7FF4AE2BDC9C : 0              7FF4AFBE6C7C : 0              
0290 - 4 Bytes           7FF4AE2BDCA0 : 124978448      7FF4AFBE6C80 : 116147216      
0294 - 4 Bytes           7FF4AE2BDCA4 : 32756          7FF4AFBE6C84 : 32756          
0298 - 4 Bytes           7FF4AE2BDCA8 : 24             7FF4AFBE6C88 : 123            
029C - 4 Bytes           7FF4AE2BDCAC : 2              7FF4AFBE6C8C : 0              
02A0 - 4 Bytes           7FF4AE2BDCB0 : 0              7FF4AFBE6C90 : 0              
02A4 - 4 Bytes           7FF4AE2BDCB4 : 23             7FF4AFBE6C94 : 124            
02A8 - 4 Bytes           7FF4AE2BDCB8 : 0              7FF4AFBE6C98 : 2              
02AC - 4 Bytes           7FF4AE2BDCBC : 2952790017     7FF4AFBE6C9C : 2835349504     
02B0 - 4 Bytes           7FF4AE2BDCC0 : 25             7FF4AFBE6CA0 : 124            
02B4 - 4 Bytes           7FF4AE2BDCC4 : 1              7FF4AFBE6CA4 : 3              
02B8 - 4 Bytes           7FF4AE2BDCC8 : 2952790017     7FF4AFBE6CA8 : 2835349505     
02BC - 4 Bytes           7FF4AE2BDCCC : 0              7FF4AFBE6CAC : 124            
02C0 - 4 Bytes           7FF4AE2BDCD0 : 0              7FF4AFBE6CB0 : 10             
02C4 - 4 Bytes           7FF4AE2BDCD4 : 2147483648     7FF4AFBE6CB4 : 2835349505     
02C8 - 4 Bytes           7FF4AE2BDCD8 : 0              7FF4AFBE6CB8 : 3              
02CC - 4 Bytes           7FF4AE2BDCDC : 0              7FF4AFBE6CBC : 0              
02D0 - 4 Bytes           7FF4AE2BDCE0 : 0              7FF4AFBE6CC0 : 100663296      
02D4 - 4 Bytes           7FF4AE2BDCE4 : 0              7FF4AFBE6CC4 : 2147483648     
02D8 - 4 Bytes           7FF4AE2BDCE8 : 0              7FF4AFBE6CC8 : 0              
02DC - 4 Bytes           7FF4AE2BDCEC : 2147483648     7FF4AFBE6CCC : 0              
02E0 - 4 Bytes           7FF4AE2BDCF0 : 0              7FF4AFBE6CD0 : 0              
02E4 - 4 Bytes           7FF4AE2BDCF4 : 0              7FF4AFBE6CD4 : 0              
02E8 - 4 Bytes           7FF4AE2BDCF8 : 0              7FF4AFBE6CD8 : 0              
02EC - 4 Bytes           7FF4AE2BDCFC : 0              7FF4AFBE6CDC : 2147483648     
02F0 - 4 Bytes           7FF4AE2BDD00 : 0              7FF4AFBE6CE0 : 0              
02F4 - 4 Bytes           7FF4AE2BDD04 : 2147483648     7FF4AFBE6CE4 : 0              
02F8 - 4 Bytes           7FF4AE2BDD08 : 0              7FF4AFBE6CE8 : 0              
02FC - 4 Bytes           7FF4AE2BDD0C : 0              7FF4AFBE6CEC : 0              
0300 - 4 Bytes           7FF4AE2BDD10 : 0              7FF4AFBE6CF0 : 0              
0304 - 4 Bytes           7FF4AE2BDD14 : 0              7FF4AFBE6CF4 : 2147483648     
0308 - 4 Bytes           7FF4AE2BDD18 : 0              7FF4AFBE6CF8 : 0              
030C - 4 Bytes           7FF4AE2BDD1C : 2147483648     7FF4AFBE6CFC : 0              
0310 - 4 Bytes           7FF4AE2BDD20 : 0              7FF4AFBE6D00 : 0              
0314 - 4 Bytes           7FF4AE2BDD24 : 0              7FF4AFBE6D04 : 0              
0318 - 4 Bytes           7FF4AE2BDD28 : 0              7FF4AFBE6D08 : 0              
031C - 4 Bytes           7FF4AE2BDD2C : 0              7FF4AFBE6D0C : 2147483648     
0320 - 4 Bytes           7FF4AE2BDD30 : 0              7FF4AFBE6D10 : 0              
0324 - 4 Bytes           7FF4AE2BDD34 : 2147483648     7FF4AFBE6D14 : 0              
0328 - 4 Bytes           7FF4AE2BDD38 : 0              7FF4AFBE6D18 : 0              
032C - 4 Bytes           7FF4AE2BDD3C : 0              7FF4AFBE6D1C : 0              
0330 - 4 Bytes           7FF4AE2BDD40 : 0              7FF4AFBE6D20 : 0              
0334 - 4 Bytes           7FF4AE2BDD44 : 0              7FF4AFBE6D24 : 2147483648     
0338 - 4 Bytes           7FF4AE2BDD48 : 0              7FF4AFBE6D28 : 0              
033C - 4 Bytes           7FF4AE2BDD4C : 2147483648     7FF4AFBE6D2C : 0              
0340 - 4 Bytes           7FF4AE2BDD50 : 0              7FF4AFBE6D30 : 0              
0344 - 4 Bytes           7FF4AE2BDD54 : 0              7FF4AFBE6D34 : 0              
0348 - 4 Bytes           7FF4AE2BDD58 : 0              7FF4AFBE6D38 : 0              
034C - 4 Bytes           7FF4AE2BDD5C : 0              7FF4AFBE6D3C : 2147483648     
0350 - 4 Bytes           7FF4AE2BDD60 : 0              7FF4AFBE6D40 : 0              
0354 - 4 Bytes           7FF4AE2BDD64 : 2147483648     7FF4AFBE6D44 : 0              
0358 - 4 Bytes           7FF4AE2BDD68 : 0              7FF4AFBE6D48 : 0              
035C - 4 Bytes           7FF4AE2BDD6C : 0              7FF4AFBE6D4C : 0              
0360 - 4 Bytes           7FF4AE2BDD70 : 1              7FF4AFBE6D50 : 2              
0364 - 4 Bytes           7FF4AE2BDD74 : 0              7FF4AFBE6D54 : 0              
0368 - 4 Bytes           7FF4AE2BDD78 : 24             7FF4AFBE6D58 : 123            
036C - 4 Bytes           7FF4AE2BDD7C : 2              7FF4AFBE6D5C : 0              
0370 - 4 Bytes           7FF4AE2BDD80 : 0              7FF4AFBE6D60 : 0              
0374 - 4 Bytes           7FF4AE2BDD84 : 23             7FF4AFBE6D64 : 124            
0378 - 4 Bytes           7FF4AE2BDD88 : 0              7FF4AFBE6D68 : 2              
037C - 4 Bytes           7FF4AE2BDD8C : 2952790017     7FF4AFBE6D6C : 2835349504     
0380 - 4 Bytes           7FF4AE2BDD90 : 25             7FF4AFBE6D70 : 124            
0384 - 4 Bytes           7FF4AE2BDD94 : 1              7FF4AFBE6D74 : 3              
0388 - 4 Bytes           7FF4AE2BDD98 : 2952790017     7FF4AFBE6D78 : 2835349505     
038C - 4 Bytes           7FF4AE2BDD9C : 0              7FF4AFBE6D7C : 124            
0390 - 4 Bytes           7FF4AE2BDDA0 : 0              7FF4AFBE6D80 : 10             
0394 - 4 Bytes           7FF4AE2BDDA4 : 0              7FF4AFBE6D84 : 2835349505     
0398 - 4 Bytes           7FF4AE2BDDA8 : 0              7FF4AFBE6D88 : 3              
039C - 4 Bytes           7FF4AE2BDDAC : 2147483648     7FF4AFBE6D8C : 0              
03A0 - 4 Bytes           7FF4AE2BDDB0 : 0              7FF4AFBE6D90 : 100663296      
03A4 - 4 Bytes           7FF4AE2BDDB4 : 0              7FF4AFBE6D94 : 0              
03A8 - 4 Bytes           7FF4AE2BDDB8 : 0              7FF4AFBE6D98 : 0              
03AC - 4 Bytes           7FF4AE2BDDBC : 0              7FF4AFBE6D9C : 2147483648     
03B0 - 4 Bytes           7FF4AE2BDDC0 : 0              7FF4AFBE6DA0 : 0              
03B4 - 4 Bytes           7FF4AE2BDDC4 : 2147483648     7FF4AFBE6DA4 : 0              
03B8 - 4 Bytes           7FF4AE2BDDC8 : 0              7FF4AFBE6DA8 : 0              
03BC - 4 Bytes           7FF4AE2BDDCC : 0              7FF4AFBE6DAC : 0              
03C0 - 4 Bytes           7FF4AE2BDDD0 : 0              7FF4AFBE6DB0 : 0              
03C4 - 4 Bytes           7FF4AE2BDDD4 : 0              7FF4AFBE6DB4 : 2147483648     
03C8 - 4 Bytes           7FF4AE2BDDD8 : 0              7FF4AFBE6DB8 : 0              
03CC - 4 Bytes           7FF4AE2BDDDC : 2147483648     7FF4AFBE6DBC : 0              
03D0 - 4 Bytes           7FF4AE2BDDE0 : 0              7FF4AFBE6DC0 : 0              
03D4 - 4 Bytes           7FF4AE2BDDE4 : 0              7FF4AFBE6DC4 : 0              
03D8 - 4 Bytes           7FF4AE2BDDE8 : 0              7FF4AFBE6DC8 : 0              
03DC - 4 Bytes           7FF4AE2BDDEC : 0              7FF4AFBE6DCC : 2147483648     
03E0 - 4 Bytes           7FF4AE2BDDF0 : 0              7FF4AFBE6DD0 : 0              
03E4 - 4 Bytes           7FF4AE2BDDF4 : 2147483648     7FF4AFBE6DD4 : 0              
03E8 - 4 Bytes           7FF4AE2BDDF8 : 0              7FF4AFBE6DD8 : 0              
03EC - 4 Bytes           7FF4AE2BDDFC : 0              7FF4AFBE6DDC : 0              
03F0 - 4 Bytes           7FF4AE2BDE00 : 0              7FF4AFBE6DE0 : 0              
03F4 - 4 Bytes           7FF4AE2BDE04 : 0              7FF4AFBE6DE4 : 2147483648     
03F8 - 4 Bytes           7FF4AE2BDE08 : 0              7FF4AFBE6DE8 : 0              
03FC - 4 Bytes           7FF4AE2BDE0C : 2147483648     7FF4AFBE6DEC : 0              
0400 - 4 Bytes           7FF4AE2BDE10 : 0              7FF4AFBE6DF0 : 0              
0404 - 4 Bytes           7FF4AE2BDE14 : 0              7FF4AFBE6DF4 : 0              
0408 - 4 Bytes           7FF4AE2BDE18 : 0              7FF4AFBE6DF8 : 0              
040C - 4 Bytes           7FF4AE2BDE1C : 0              7FF4AFBE6DFC : 2147483648     
0410 - 4 Bytes           7FF4AE2BDE20 : 0              7FF4AFBE6E00 : 0              
0414 - 4 Bytes           7FF4AE2BDE24 : 2147483648     7FF4AFBE6E04 : 0              
0418 - 4 Bytes           7FF4AE2BDE28 : 0              7FF4AFBE6E08 : 0              
041C - 4 Bytes           7FF4AE2BDE2C : 0              7FF4AFBE6E0C : 0              
0420 - 4 Bytes           7FF4AE2BDE30 : 0              7FF4AFBE6E10 : 0              
0424 - 4 Bytes           7FF4AE2BDE34 : 0              7FF4AFBE6E14 : 2147483648     
0428 - 4 Bytes           7FF4AE2BDE38 : 0              7FF4AFBE6E18 : 0              
042C - 4 Bytes           7FF4AE2BDE3C : 2147483648     7FF4AFBE6E1C : 0              
0430 - 4 Bytes           7FF4AE2BDE40 : 1              7FF4AFBE6E20 : 2              
0434 - 4 Bytes           7FF4AE2BDE44 : 0              7FF4AFBE6E24 : 0              
0438 - 4 Bytes           7FF4AE2BDE48 : 24             7FF4AFBE6E28 : 123            
043C - 4 Bytes           7FF4AE2BDE4C : 2              7FF4AFBE6E2C : 0              
0440 - 4 Bytes           7FF4AE2BDE50 : 0              7FF4AFBE6E30 : 0              
0444 - 4 Bytes           7FF4AE2BDE54 : 23             7FF4AFBE6E34 : 124            
0448 - 4 Bytes           7FF4AE2BDE58 : 0              7FF4AFBE6E38 : 2              
044C - 4 Bytes           7FF4AE2BDE5C : 2952790017     7FF4AFBE6E3C : 2835349504     
0450 - 4 Bytes           7FF4AE2BDE60 : 25             7FF4AFBE6E40 : 124            
0454 - 4 Bytes           7FF4AE2BDE64 : 1              7FF4AFBE6E44 : 3              
0458 - 4 Bytes           7FF4AE2BDE68 : 2952790017     7FF4AFBE6E48 : 2835349505     
045C - 4 Bytes           7FF4AE2BDE6C : 2147483648     7FF4AFBE6E4C : 124            
0460 - 4 Bytes           7FF4AE2BDE70 : 0              7FF4AFBE6E50 : 10             
0464 - 4 Bytes           7FF4AE2BDE74 : 0              7FF4AFBE6E54 : 2835349505     
0468 - 4 Bytes           7FF4AE2BDE78 : 0              7FF4AFBE6E58 : 3              
046C - 4 Bytes           7FF4AE2BDE7C : 0              7FF4AFBE6E5C : 0              
0470 - 4 Bytes           7FF4AE2BDE80 : 0              7FF4AFBE6E60 : 100663296      
0474 - 4 Bytes           7FF4AE2BDE84 : 2147483648     7FF4AFBE6E64 : 0              
0478 - 4 Bytes           7FF4AE2BDE88 : 0              7FF4AFBE6E68 : 0              
047C - 4 Bytes           7FF4AE2BDE8C : 0              7FF4AFBE6E6C : 0              
0480 - 4 Bytes           7FF4AE2BDE90 : 0              7FF4AFBE6E70 : 0              
0484 - 4 Bytes           7FF4AE2BDE94 : 0              7FF4AFBE6E74 : 2147483648     
0488 - 4 Bytes           7FF4AE2BDE98 : 0              7FF4AFBE6E78 : 0              
048C - 4 Bytes           7FF4AE2BDE9C : 2147483648     7FF4AFBE6E7C : 0              
0490 - 4 Bytes           7FF4AE2BDEA0 : 0              7FF4AFBE6E80 : 0              
0494 - 4 Bytes           7FF4AE2BDEA4 : 0              7FF4AFBE6E84 : 0              
0498 - 4 Bytes           7FF4AE2BDEA8 : 0              7FF4AFBE6E88 : 0              
